Priority,Research area,Project,Sector,Region,Owner / Client,Owner role,Estimated value,Stage as of Jul 2026,Delivery window,Tier 1 contractor / JV / consortium,JV / partners aligned,Known owners / delivery leads,LinkedIn / public profile if available,Sources
1,"Energy, Water and Utilities",HyNet North West â€” Industrial Decarbonisation Cluster (Track 1 CCUS),Carbon Capture Utilisation & Storage (CCUS) / Hydrogen / Industrial Decarbonisation,"North West England (Merseyside, Cheshire, Greater Manchester) and North Wales","Multi-party cluster. Key project leads by workstream: Eni UK (offshore COâ‚‚ transport & storage in Hamilton depleted gas fields, Liverpool Bay); Cadent Gas (onshore COâ‚‚ pipeline + hydrogen pipeline network); INEOS Inovyn (hydrogen storage via repurposed Northwich salt caverns); CF Industries / Tata Chemicals / Viridor / Essar (industrial emitters, CCS hosts)",DESNZ as Track 1 CCUS cluster selector (announced Oct 2021). Each workstream has its own developer/owner. HM Treasury capital support provided via Track 1 negotiations (ongoing). Government providing revenue support via Dispatchable Power Agreements (DPA) and carbon capture contracts.,~Â£2bn+ for initial phase infrastructure. Full cluster development ~Â£10bn over lifetime. Government committed track 1 support in Autumn Statement 2023 and 2024 budget.,Track 1 â€” contracts/FEED to construction transition. Track 1 sequencing: HyNet selected Oct 2021. Revenue model and contracts under negotiation through 2023â€“2025. COâ‚‚ pipeline FEED ongoing. Expected first COâ‚‚ injection ~2027â€“2028. Hydrogen production plant (by Essar and others) in advanced development.,Phase 1 CCS: ~2027â€“2028. Hydrogen pipeline network from ~2027. Salt cavern hydrogen storage: ~2027.,"Eni (offshore COâ‚‚ storage); Cadent (pipeline infrastructure); individual industrial CCS units will have their own EPCs â€” not all publicly named. FEED contractors include Worley, Aecom.",,"David Parkin â€” Programme Director, HyNet (publicly named in industry press). Individual project leads at Eni, Cadent, INEOS Inovyn not all publicly verifiable.",,hynet.co.uk Â· DESNZ Track 1 CCUS announcement Oct 2021 Â· gov.uk CCUS programme (https://www.gov.uk/government/collections/carbon-capture-usage-and-storage-ccus-programme)
1,"Energy, Water and Utilities",Sizewell C Nuclear Power Station,Nuclear â€” New Build,"Suffolk, East of England",Sizewell C Ltd (NNB Generation Company SZC) â€” subsidiary vehicle,UK Government as majority shareholder and lead policy/financing body (via Secretary of State for ESNZ). EDF as technical lead and minority equity. La Caisse and Centrica as major institutional equity investors. Regulated Asset Base (RAB) model means consumer bills fund construction.,Â£38bn (July 2025 FID estimate) â€” 20% saving targeted over HPC. UK Govt committed Â£14.2bn capex 2026â€“30 in 2025 Spending Review. Bpifrance Assurance Export providing ~Â£5bn debt guarantee. National Wealth Fund to support majority of debt finance.,Groundworks underway (site preparation commenced Jan 2024). Final Investment Decision signed 22 July 2025. Core nuclear construction not yet started as of July 2026. Financing deal agreed Nov 2025.,9â€“12 years from FID â†’ operational 2034â€“2037. 60-year service life.,Not yet publicly appointed â€” Post-FID procurement underway. Expected to broadly replicate HPC supply chain (EDF/NNB GenCo will manage).,"Framatome (EPR reactor design/supplier, same as HPC); BYLOR / Bouygues / Laing O'Rourke likely preferred given HPC experience; detailed EPC selection in progress.","Julia Pyke â€” Joint Managing Director, Sizewell C Ltd (publicly confirmed, multiple press releases); Nigel Cann â€” Joint Managing Director, Sizewell C Ltd (confirmed Dec 2024, Wikipedia).",Julia Pyke: Public profile available at linkedin.com/in/julia-pyke (https://www.linkedin.com/in/julia-pyke) â€” *verify independently before use*. Nigel Cann: corporate bio referenced in industry press.,Wikipedia: en.wikipedia.org/wiki/Sizewell_C_nuclear_power_station (https://en.wikipedia.org/wiki/Sizewell_C_nuclear_power_station) Â· DESNZ FID announcement July 2025 Â· sizewellc.co.uk
1,"Energy, Water and Utilities",Wylfa Small Modular Reactor (3 Ã— Rolls-Royce SMR units),Nuclear â€” SMR,"Anglesey, Wales",Great British Energy â€“ Nuclear (GBE-N) (UK Government-owned) in partnership with Rolls-Royce SMR Ltd,"GBE-N as client and UK government investment vehicle (committed Â£14.2bn in nuclear broadly, 2026â€“30 SR period). National Wealth Fund committed up to Â£599m to Rolls-Royce SMR (April 2026). Site-specific design contract signed April 2026 between Rolls-Royce SMR and GBE-N.",3 Ã— SMR units at est. Â£2â€“3bn each = Â£6â€“9bn total. Overall site development cost TBC pending FID.,"Pre-FID / design phase â€” Site-specific design contract signed April 2026. GDA Step 3 ongoing (started July 2024, expected completion ~2026). Regulatory justification approved March 2026.",FID expected 2029 â†’ first operations early to mid 2030s,Not appointed â€” pending FID and detailed design. Rolls-Royce has selected Å koda JS and Doosan Enerbility for nuclear island pre-production work (May 2026). Yokogawa Electric contracted for control systems (Feb 2026).,"GBE-N: government-owned, DESNZ-sponsored. Rolls-Royce SMR Ltd: Rolls-Royce Holdings 76%, ÄŒEZ Group 20%, others 4%. Site bought by UK Government from Hitachi for Â£160m (March 2024).","Gwen Parry-Jones â€” CEO, Great British Energy â€“ Nuclear (Wikipedia confirmed). Rolls-Royce SMR CEO: Chris Cholerton (Rolls-Royce Group President) â€” SMR subsidiary leadership.",,Wikipedia: en.wikipedia.org/wiki/Rolls-Royce_SMR (https://en.wikipedia.org/wiki/Rolls-Royce_SMR) Â· en.wikipedia.org/wiki/Wylfa_Newydd_nuclear_power_station (https://en.wikipedia.org/wiki/Wylfa_Newydd_nuclear_power_station) Â· en.wikipedia.org/wiki/Great_British_Energy_â€“_Nuclear (https://en.wikipedia.org/wiki/Great_British_Energy_%E2%80%93_Nuclear) Â· wnn Apr 2026
2,"Buildings, Social Infrastructure and Regeneration",Universal United Kingdom Resort,Leisure / Tourism / Major Commercial Development,"East of England â€” Bedfordshire (Kempston Hardwick, south of Bedford)",Comcast NBCUniversal,"Private developer (US); UK Government providing Â£1.3bn in transport/infrastructure support (A421, Wixams railway station)",Â£5bn+ (private); + Â£1bn capex first decade; Â£50bn economic benefit by 2055,"Enabling works underway. First infrastructure packages awarded (ESP: utility infrastructure/water treatment/energy plant, with Veolia). No main works contractor announced yet. 100+ people employed.",Construction ~2026â€“2031; target opening 2031,Not yet announced,,Not publicly named in sources,,constructionenquirer.com/2026/06/04/hollywood-giant-gears-up-for-5bn-uk-resort-build/ (https://www.constructionenquirer.com/2026/06/04/hollywood-giant-gears-up-for-5bn-uk-resort-build/)
2,"Buildings, Social Infrastructure and Regeneration",Wylfa SMR â€” UK's First Small Modular Reactor,Energy / Nuclear,Wales â€” Anglesey,"Great British Energyâ€“Nuclear (GBE-N, publicly owned)",Government-backed entity as developer; Rolls-Royce SMR as technology partner,Â£2.5bn (initial 3 reactors up to 8 planned),"Early engineering phase â€” Arup (foundation engineering), Mace Consult (programme management), Gleeds (cost), LDA Design (masterplanning) appointed March 2026. Concept design under development.",Construction target late 2020s; operational ~2030+,Not yet appointed,,"Simon Roddy, CEO, Great British Energyâ€“Nuclear; Jeremy Stain, Nuclear Business Leader, Arup",great.gov.uk/great-british-energy (https://gbr.gov.uk),constructionenquirer.com/2025/11/13/wylfa-to-be-home-of-uks-first-small-modular-nuclear-reactors/ (https://www.constructionenquirer.com/2025/11/13/wylfa-to-be-home-of-uks-first-small-modular-nuclear-reactors/) Â· constructionenquirer.com/2026/03/12/mace-and-arup-land-roles-for-uks-first-small-modular-reactor/ (https://www.constructionenquirer.com/2026/03/12/mace-and-arup-land-roles-for-uks-first-small-modular-reactor/)
2,"Energy, Water and Utilities",Eastern Green Link 1 (EGL1) â€” formerly Scotland-England Green Link 1,Power Transmission / Electricity Grid,"Scotland (Torness, East Lothian) â†’ NE England (Murton, County Durham)",Joint: National Grid Electricity Transmission (NGET) + Scottish Power Transmission plc (SPT),NGET: English asset owner and lead project manager; SPT: Scottish asset owner. Ofgem-regulated Accelerated Strategic Transmission Investment (ASTI).,Â£1.294bn (Ofgem approved July 2022),Under construction â€” Construction formally began 13 February 2025.,2029,Contractors not publicly disclosed in verified sources at research date â€” procurement undertaken under ASTI framework. EGL1 site: easterngreenlink1.co.uk (https://www.easterngreenlink1.co.uk/),,"National Grid ASTI programme director not publicly named. ScottishPower Transmission CEO: Frank Mitchell (ScottishPower CEO, parent).",,Wikipedia: en.wikipedia.org/wiki/Eastern_Green_Links (https://en.wikipedia.org/wiki/Eastern_Green_Links) Â· Transport+Energy Feb 2025 Â· Ofgem ASTI decision Dec 2022
2,"Energy, Water and Utilities",Eastern Green Link 2 (EGL2) â€” HVDC subsea power cable,Power Transmission / Electricity Grid,"Scotland (Peterhead, Aberdeenshire) â†’ Yorkshire (Drax Power Station) â€” 440 km subsea",Joint: SSEN Transmission (SSE Plc subsidiary) + National Grid Electricity Transmission (NGET),SSEN Transmission: asset owner for Scottish portion; NGET: asset owner for English portion. Both regulated transmission owners under Ofgem ASTI framework. Joint project governance.,"Â£4.3bn total (confirmed Sept 2024, powertech)",Under construction â€” Construction began September 2024. Cable manufacturing and onshore works ongoing. Target energisation 2029.,2029,Prysmian Group (subsea HVDC cable manufacture & installation); Hitachi Energy (HVDC converter stations); BAM UK (onshore civil and converter station works),XLPE cable technology; Â±525 kV VSC HVDC; cross-linked polyethylene cables,"Rob McDonald â€” CEO, SSEN Transmission (publicly named). NGET project director for EGL2 not publicly named in verifiable sources.",SSEN: ssen-transmission.co.uk/projects/project-map/eastern-green-link-2 (https://www.ssen-transmission.co.uk/projects/project-map/eastern-green-link-2/?id=1665499557323) Â· easterngreenlink2.co.uk,Wikipedia: en.wikipedia.org/wiki/Eastern_Green_Links (https://en.wikipedia.org/wiki/Eastern_Green_Links) Â· Ofgem ASTI approval Aug 2024 Â· Power Technology Sept 2024
2,"Energy, Water and Utilities",Eastern Green Link 3 (EGL3) and Eastern Green Link 4 (EGL4),Power Transmission,"EGL3: Peterhead (Scotland) â†’ Anderby Creek (Lincolnshire); EGL4: Westfield, Fife (Scotland) â†’ Anderby Creek (Lincolnshire). Both with 75-mile onshore link Grimsbyâ€“Walpole, Norfolk.",EGL3: National Grid ET + SSEN Transmission; EGL4: National Grid ET + Scottish Power Transmission,Ofgem-regulated transmission owners under ASTI. Ofgem approved Dec 2025. Contracts signed early 2026.,EGL3: ~$2.5bn (NKT cable contract signed March 2026). EGL4: ~$2.7bn (Prysmian cable contract Feb 2026). Total programme: ~Â£4.5bn+,In development / pre-construction â€” Contracts signed; design and early site preparation work underway.,EGL3: 2033; EGL4: 2033â€“2034,"EGL3: NKT (cables, $2.5bn contract); EGL4: Prysmian Group (cables, $2.7bn contract). Converter station contractors TBC.",,,,Wikipedia: en.wikipedia.org/wiki/Eastern_Green_Links (https://en.wikipedia.org/wiki/Eastern_Green_Links) Â· Marine Technology News Mar 2026 Â· Construction Review Online Feb 2026 Â· The Guardian Dec 2025
3,"Buildings, Social Infrastructure and Regeneration",Haweswater Aqueduct Resilience Programme (HARP),Water Infrastructure (strategic infrastructure),North West England â€” Cumbria to Manchester,United Utilities,Regulated water company as asset owner and programme sponsor,~Â£3bn (one of UK's largest water infrastructure projects),"Active construction â€” Strabag ranked #1 in rolling 12-month contracts league (Building.co.uk / Barbour ABI data, July 2026), buoyed by this contract",Multi-year (est. 2025â€“2032),Strabag (prime contractor on long-term deal),,,,"constructionenquirer.com/2026/07/08/battersea-job-lifts-sisk-to-top-of-contracts-league/ (https://www.constructionenquirer.com/2026/07/08/battersea-job-lifts-sisk-to-top-of-contracts-league/) (Strabag top of rolling 12-month orders, citing HARP)"
3,"Buildings, Social Infrastructure and Regeneration",HMP Glasgow (Replacement for HMP Barlinnie),Prisons / Justice,Scotland â€” Glasgow,Scottish Prison Service (SPS),Scottish Government / SPS as programme and asset owner,Â£684m,Under construction â€” structural frame and concrete works well advanced (Statom awarded frame subcontract Nov 2025). Active site.,Est. ~2027â€“2028,Kier,N/A,"Kevin Graham, MD, Statom North (frame subcontractor)",,constructionenquirer.com/2025/11/03/statom-lands-frame-deal-on-kier-barlinnie-prison-job/ (https://www.constructionenquirer.com/2025/11/03/statom-lands-frame-deal-on-kier-barlinnie-prison-job/)
3,"Buildings, Social Infrastructure and Regeneration",Kendrew Barracks & Bulwell Army Reserve Centre Upgrade,Defence,East Midlands â€” Rutland (Kendrew) & Nottingham (Bulwell),Ministry of Defence / DIO,DIO client; Army as end-user,Â£237m,Detailed design; construction start autumn 2026,~2026â€“2029,Bovis,,"Major General AJ Smith CBE, Director of Basing and Infrastructure, British Army; Andrew Mackay, Executive General Manager, Bovis",,constructionenquirer.com/2025/10/01/bovis-bags-237m-east-midlands-army-barracks-upgrade/ (https://www.constructionenquirer.com/2025/10/01/bovis-bags-237m-east-midlands-army-barracks-upgrade/)
3,"Buildings, Social Infrastructure and Regeneration",Leighton Hospital Replacement (New Crewe Hospital),Healthcare,North West England â€” Cheshire,Mid Cheshire Hospitals NHS Foundation Trust,NHS Foundation Trust; programme sits under NHP (DHSC),~Â£1.3bn,Hybrid planning application approved June 2026; moving to detailed design and business case approvals; procurement of major supply chain packages imminent,Construction 2027â€“2032; demolition of old hospital 2032â€“2034,Integrated Health Projects (IHP) JV,Sir Robert McAlpine + Vinci Building,"Simon Kydd, Health Sector MD, Sir Robert McAlpine (joined Jun 2026, replacing Stuart McArthur); Project team led by WSP (PM) and Ryder Architecture (design), supported by Gleeds, WT Partnership, Mott MacDonald, Greengage, PwC",Simon Kydd: linkedin.com/in/simon-kydd (https://www.linkedin.com/in/simon-kydd) (not confirmed from source â€” leave blank),constructionenquirer.com/2026/06/10/mcalpine-vinci-1-3bn-crewe-hospital-gets-green-light/ (https://www.constructionenquirer.com/2026/06/10/mcalpine-vinci-1-3bn-crewe-hospital-gets-green-light/) Â· constructionenquirer.com/2026/06/05/mcalpine-hires-former-wates-director-as-healthcare-md/ (https://www.constructionenquirer.com/2026/06/05/mcalpine-hires-former-wates-director-as-healthcare-md/)
